安徽省,Anhui Province
图木舒克市,Tumxuk
吐鲁番市,Turpan
乌鲁木齐市,Ürümqi
五家渠市,Wujiaqu
乌苏市,Wusu
新星市 ,Xinxing 
伊宁市,Yining
安宁市,Anning
保山市,Baoshan
澄江市,Chengjiang
楚雄市,Chuxiong
大理市,Dali
个旧市,Gejiu
景洪市,Jinghong
开远市,Kaiyuan
昆明市,Kunming
临沧市,Lincang
丽江市,Lijiang
禄丰市 ,Lufeng 
泸水市,Lushui
芒市,Mangshi
蒙自市,Mengzi
弥勒市,Mile
普洱市,Pu'er
曲靖市,Qujing
瑞丽市,Ruili
香格里拉市,Shangri-La
水富市,Shuifu
腾冲市,Tengchong
文山市,Wenshan
宣威市,Xuanwei
玉溪市,Yuxi
昭通市,Zhaotong
慈溪市,Cixi
东阳市,Dongyang
海宁市,Haining
杭州市,Hangzhou
湖州市,Huzhou
建德市,Jiande
江山市,Jiangshan
嘉兴市,Jiaxing
金华市,Jinhua
兰溪市,Lanxi
临海市,Linhai
丽水市,Lishui
龙港市,Longgang
龙泉市,Longquan
宁波市,Ningbo
平湖市,Pinghu
衢州市,Quzhou
瑞安市,Ruian
绍兴市,Shaoxing
嵊州市,Shengzhou
台州市,Taizhou
桐乡市,Tongxiang
温岭市,Wenling
温州市,Wenzhou
义乌市,Yiwu
永康市,Yongkang
乐清市,Yueqing
玉环市,Yuhuan
余姚市,Yuyao
舟山市,Zhoushan
诸暨市,Zhuji
北部湾,Northern Gulf
南海,South China Sea
江苏省苏州市,Suzhou City, Jiangsu Province
鸿庥岛,Hongxiu Island
蓬勃堡,Bombay Castle(South China Sea)
石岛,Rocky Island
赵述岛,Tree Island
西沙洲,West Sand
永兴岛,Woody Island
琛航岛,Duncan Island
金银岛,Money Island
西沙群岛,Xisha Islands
珊瑚岛,Pattle Island
甘泉岛,Ganquan Island
鸭公岛,Yagong Island
浪花礁,Bombay Reef
中建岛,Triton Island
南沙群岛,Spratly Islands
太平島,Taiping Island
费信岛,Flat Island
杨信沙洲,Lankiam Cay
南钥岛,Loaita Island
马欢岛,Nanshan Island
北子岛,Northeast Cay
中业岛,Thitu Island
西月岛,West York Island
安波沙洲,Amboyna Cay
鸿庥岛,Namyit Island
景宏岛,Sin Cowe Island
染青沙洲,Grierson Reef
南威岛,Spratly Island
敦谦沙洲,Sand Cay
南子岛,Southwest Cay
中洲礁,Ban Than Reef,Zhongzhou Reef
华阳礁,Cuarteron Reef
永暑礁,Fiery Cross Reef
西南礁,Gaven Reefs
东门礁,Hughes Reef
赤瓜礁,Johnson South Reef
美济礁,Mischief Reef
渚碧礁,Subi Reef
司令礁,Commodore Reef
半月礁,Half Moon Shoal
火艾礁,Irving Reef
仁爱礁,Second Thomas Shoal
鬼喊礁,Collins Reef
南华礁,Cornwallis South Reef
日积礁,Ladd Reef
西礁,West Reef
光星仔礁,Ardasier Reef
光星礁,Dallas Reef
簸箕礁,Erica Reef
榆亚暗沙,Investigator Shoal
鲁克尼亚暗沙,Ruknian Shoals
南海礁,Mariveles Reef
燕子島,Swallow Reef
南通礁,Louisa Reef
下川岛,Xiachuan Island
上川岛,Shangchuan Island
横琴岛,Hengqin
萬山群島,Wanshan Islands
南澳县,Nanao County
战略,strategy
备战,Prepare for war
军委,Military Commission
战区,war zone
陆军,army
军媒,military media
海军,navy
空军,air force
火箭军,rocket army
战支,war branch
武警,armed police
特战,special warfare
维和,Peacekeeping
边关,border
老兵,veteran
军属,Military dependents
动员,mobilization
军史,military history
兵器,weapons
外军,foreign troops
军粮,military rations
发言人,spokesman
防务,defense
部队,force
兵团,corps
编队,formation
外交,diplomatic
政策,policy
训练,train
练习,practise
演习,exercise
操作能力,Operation ability
日常,daily
机队建设,Fleet construction
机队,fleet
任务,Task
义务,obligation
